Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
0,0,0,8.4,15.225,0
0,0,0,7.875,15.225,0
0,0,0,7.875,15.75,0
0,0,0,7.875,16.275,0
0,0,0,8.4,16.275,0
0,0,0,8.4,15.75,0
0,0,0,8.4,14.7,0
0,0,0,8.4,14.175,0
0,0,0,7.875,14.175,0
0,0,0,7.875,14.7,0
0,0,0,8.4,13.65,0
0,0,0,8.4,13.125,0
0,0,0,8.4,12.6,0
0,0,0,7.875,12.6,0
0,0,0,7.875,13.125,0
0,0,0,7.875,13.65,0
0,0,0,8.4,12.075,0
0,0,0,8.4,11.55,0
0,0,0,7.875,11.55,0
0,0,0,7.875,12.075,0
0,0,0,7.875,16.8,0
0,0,0,7.875,17.325,0
0,0,0,8.4,17.325,0
0,0,0,8.4,16.8,0
0,0,0,7.875,17.85,0
0,0,0,8.4,17.85,0
0,0,0,7.35,17.85,0
0,0,0,6.825,17.85,0
0,0,0,6.3,17.85,0
0,0,0,7.35,17.325,0
0,0,0,7.35,16.8,0
0,0,0,6.825,16.8,0
0,0,0,6.825,17.325,0
0,0,0,6.3,17.325,0
0,0,0,6.3,16.8,0
0,0,0,7.35,16.275,0
0,0,0,7.35,15.75,0
0,0,0,7.35,15.225,0
0,0,0,6.825,15.225,0
0,0,0,6.825,15.75,0
0,0,0,6.825,16.275,0
0,0,0,6.3,16.275,0
0,0,0,6.3,15.75,0
0,0,0,6.3,15.225,0
0,0,0,7.35,14.7,0
0,0,0,7.35,14.175,0
0,0,0,6.825,14.175,0
0,0,0,6.825,14.7,0
0,0,0,6.3,14.7,0
0,0,0,6.3,14.175,0
0,0,0,7.35,13.65,0
0,0,0,7.35,13.125,0
0,0,0,7.35,12.6,0
0,0,0,6.825,12.6,0
0,0,0,6.825,13.125,0
0,0,0,6.825,13.65,0
0,0,0,6.3,13.65,0
0,0,0,6.3,13.125,0
0,0,0,6.3,12.6,0
0,0,0,7.35,12.075,0
0,0,0,7.35,11.55,0
0,0,0,6.825,11.55,0
0,0,0,6.825,12.075,0
0,0,0,6.3,12.075,0
0,0,0,6.3,11.55,0
0,0,0,5.775,11.55,0
0,0,0,5.775,12.075,0
0,0,0,5.25,12.075,0
0,0,0,5.25,11.55,0
0,0,0,5.775,12.6,0
0,0,0,5.775,13.125,0
0,0,0,5.775,13.65,0
0,0,0,5.25,13.65,0
0,0,0,5.25,13.125,0
0,0,0,5.25,12.6,0
0,0,0,5.775,14.175,0
0,0,0,5.775,14.7,0
0,0,0,5.25,14.7,0
0,0,0,5.25,14.175,0
0,0,0,5.775,15.225,0
0,0,0,5.775,15.75,0
0,0,0,5.775,16.275,0
0,0,0,5.25,16.275,0
0,0,0,5.25,15.75,0
0,0,0,5.25,15.225,0
0,0,0,5.775,16.8,0
0,0,0,5.775,17.325,0
0,0,0,5.25,17.325,0
0,0,0,5.25,16.8,0
0,0,0,5.775,17.85,0
0,0,0,5.25,17.85,0
0,0,0,8.925,15.75,0
0,0,0,8.925,15.225,0
0,0,0,9.45,15.225,0
0,0,0,9.45,15.75,0
0,0,0,9.45,16.275,0
0,0,0,8.925,16.275,0
0,0,0,9.975,16.275,0
0,0,0,9.975,15.75,0
0,0,0,9.975,15.225,0
0,0,0,8.925,14.7,0
0,0,0,8.925,14.175,0
0,0,0,9.45,14.175,0
0,0,0,9.45,14.7,0
0,0,0,9.975,14.7,0
0,0,0,9.975,14.175,0
0,0,0,8.925,13.65,0
0,0,0,8.925,13.125,0
0,0,0,8.925,12.6,0
0,0,0,9.45,12.6,0
0,0,0,9.45,13.125,0
0,0,0,9.45,13.65,0
0,0,0,9.975,13.65,0
0,0,0,9.975,13.125,0
0,0,0,9.975,12.6,0
0,0,0,8.925,12.075,0
0,0,0,8.925,11.55,0
0,0,0,9.45,11.55,0
0,0,0,9.45,12.075,0
0,0,0,9.975,12.075,0
0,0,0,9.975,11.55,0
0,0,0,9.45,16.8,0
0,0,0,9.45,17.325,0
0,0,0,8.925,17.325,0
0,0,0,8.925,16.8,0
0,0,0,9.975,17.325,0
0,0,0,9.975,16.8,0
0,0,0,9.45,17.85,0
0,0,0,8.925,17.85,0
0,0,0,9.975,17.85,0
0,0,0,10.5,11.55,0
0,0,0,10.5,12.075,0
0,0,0,11.025,12.075,0
0,0,0,11.025,11.55,0
0,0,0,10.5,12.6,0
0,0,0,10.5,13.125,0
0,0,0,10.5,13.65,0
0,0,0,11.025,13.65,0
0,0,0,11.025,13.125,0
0,0,0,11.025,12.6,0
0,0,0,10.5,14.175,0
0,0,0,10.5,14.7,0
0,0,0,11.025,14.7,0
0,0,0,11.025,14.175,0
0,0,0,10.5,15.225,0
0,0,0,10.5,15.75,0
0,0,0,10.5,16.275,0
0,0,0,11.025,16.275,0
0,0,0,11.025,15.75,0
0,0,0,11.025,15.225,0
0,0,0,10.5,16.8,0
0,0,0,10.5,17.325,0
0,0,0,11.025,17.325,0
0,0,0,11.025,16.8,0
0,0,0,10.5,17.85,0
0,0,0,11.025,17.85,0
0,0,0,11.55,11.55,0
0,0,0,11.55,12.075,0
0,0,0,12.075,12.075,0
0,0,0,12.075,11.55,0
0,0,0,11.55,12.6,0
0,0,0,11.55,13.125,0
0,0,0,11.55,13.65,0
0,0,0,12.075,13.65,0
0,0,0,12.075,13.125,0
0,0,0,12.075,12.6,0
0,0,0,11.55,14.175,0
0,0,0,11.55,14.7,0
0,0,0,12.075,14.7,0
0,0,0,12.075,14.175,0
0,0,0,11.55,15.225,0
0,0,0,11.55,15.75,0
0,0,0,11.55,16.275,0
0,0,0,12.075,16.275,0
0,0,0,12.075,15.75,0
0,0,0,12.075,15.225,0
0,0,0,11.55,16.8,0
0,0,0,11.55,17.325,0
0,0,0,12.075,17.325,0
0,0,0,12.075,16.8,0
0,0,0,11.55,17.85,0
0,0,0,12.075,17.85,0
